isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,content,text,title_norm
9780345467324,345467329,Perfect Nightmare,a novel,john saul,Fiction,http://books.google.com/books/content?id=LzddHwKvvE4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,when her teenage daughter vanishes shortly after kara marshall and her husband put their long island home on the market kara fears the worst despite the suspicions of police that the girl is a runaway and discovers that her daughter has been abducted along with a number of other missing persons and is at the uncertain mercy of a deranged murderer reprint,20060,3.89,384.0,3607.0,Perfect Nightmare a novel Fiction when her teenage daughter vanishes shortly after kara marshall and her husband put their long island home on the market kara fears the worst despite the suspicions of police that the girl is a runaway and discovers that her daughter has been abducted along with a number of other missing persons and is at the uncertain mercy of a deranged murderer reprint,Perfect Nightmare a novel Fiction when her teenage daughter vanishes shortly after kara marshall and her husband put their long island home on the market kara fears the worst despite the suspicions of police that the girl is a runaway and discovers that her daughter has been abducted along with a number of other missing persons and is at the uncertain mercy of a deranged murderer reprint,Perfect Nightmare
9780345468369,345468368,Oh My Stars,a novel,lorna landvik,Fiction,http://books.google.com/books/content?id=d7IcpYWCBFwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in a novel set during the early days of rock n roll violet mathers a downandout woman becomes embroiled with a handsome musical pioneer,20050,3.89,416.0,5339.0,Oh My Stars a novel Fiction in a novel set during the early days of rock n roll violet mathers a downandout woman becomes embroiled with a handsome musical pioneer,Oh My Stars a novel Fiction in a novel set during the early days of rock n roll violet mathers a downandout woman becomes embroiled with a handsome musical pioneer,Oh My Stars
9780345472458,345472454,The Amateur Marriage,a novel,anne tyler,Fiction,http://books.google.com/books/content?id=wXGK6gBEULcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,marrying quickly during world war ii after falling in love at first sight a mismatched couple discovers that their very different personalities and approaches to life are taking a toll on their lives their relationship and their family in a compelling novel spanning three generations readers guide included reprint,20060,3.61,342.0,12584.0,The Amateur Marriage a novel Fiction marrying quickly during world war ii after falling in love at first sight a mismatched couple discovers that their very different personalities and approaches to life are taking a toll on their lives their relationship and their family in a compelling novel spanning three generations readers guide included reprint,The Amateur Marriage a novel Fiction marrying quickly during world war ii after falling in love at first sight a mismatched couple discovers that their very different personalities and approaches to life are taking a toll on their lives their relationship and their family in a compelling novel spanning three generations readers guide included reprint,The Amateur Marriage
9780345475732,345475739,Star Wars,labyrinth of evil,james luceno,Fiction,http://books.google.com/books/content?id=_g7TCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,obiwan kenobi and anakin skywalker embark on a mission to uncover the wearabouts of the evil sith lord darth sidious only to become trapped in a labyrinthine web of lies betrayal and intrigue,20050,3.84,370.0,5477.0,Star Wars labyrinth of evil Fiction obiwan kenobi and anakin skywalker embark on a mission to uncover the wearabouts of the evil sith lord darth sidious only to become trapped in a labyrinthine web of lies betrayal and intrigue,Star Wars labyrinth of evil Fiction obiwan kenobi and anakin skywalker embark on a mission to uncover the wearabouts of the evil sith lord darth sidious only to become trapped in a labyrinthine web of lies betrayal and intrigue,Star Wars
9780345476098,345476093,The Guns of August,kits for teens,barbara wertheim tuchman,History,http://books.google.com/books/content?id=ELck9kOIg4QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a definitive pulitzer prizewinning recreation of the powderkeg that was europe during the crucial first thirty days of world war i traces the actions of statesmen and patriots alike in berlin london st petersburg and paris reprint,20040,4.18,606.0,40624.0,The Guns of August kits for teens History a definitive pulitzer prizewinning recreation of the powderkeg that was europe during the crucial first thirty days of world war i traces the actions of statesmen and patriots alike in berlin london st petersburg and paris reprint,The Guns of August kits for teens History a definitive pulitzer prizewinning recreation of the powderkeg that was europe during the crucial first thirty days of world war i traces the actions of statesmen and patriots alike in berlin london st petersburg and paris reprint,The Guns of August
9780345476517,345476514,Wish You Were Here,the official biography of douglas adams,nick webb,Biography & Autobiography,http://books.google.com/books/content?id=SKdQgGRjIqsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,written by adamss editor and closefriend an authorized biography of the late author of the hitchhikers guide to the galaxy and its sequels offers a largerthanlife portrait of the inimitable douglas adams based on material from the authors family reprint 20000 first printing,20050,4.14,368.0,2548.0,Wish You Were Here the official biography of douglas adams Biography & Autobiography written by adamss editor and closefriend an authorized biography of the late author of the hitchhikers guide to the galaxy and its sequels offers a largerthanlife portrait of the inimitable douglas adams based on material from the authors family reprint 20000 first printing,Wish You Were Here the official biography of douglas adams Biography & Autobiography written by adamss editor and closefriend an authorized biography of the late author of the hitchhikers guide to the galaxy and its sequels offers a largerthanlife portrait of the inimitable douglas adams based on material from the authors family reprint 20000 first printing,Wish You Were Here
9780345476982,345476980,Vanish,a novel,tess gerritsen,Fiction,http://books.google.com/books/content?id=5vjPuuuxDpsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fbi agent gabriel dean rushes into action to protect his pregnant wife homicide detective jane rizzoli when she is taken hostage along with others at the hospital by nicholas tennant a blackops agent in possession of highlevel government secrets after he is sent to the hospital when boston me maura isles discovers that tennant is still alive as she prepares for his autopsy reprint,20060,4.12,401.0,45210.0,Vanish a novel Fiction fbi agent gabriel dean rushes into action to protect his pregnant wife homicide detective jane rizzoli when she is taken hostage along with others at the hospital by nicholas tennant a blackops agent in possession of highlevel government secrets after he is sent to the hospital when boston me maura isles discovers that tennant is still alive as she prepares for his autopsy reprint,Vanish a novel Fiction fbi agent gabriel dean rushes into action to protect his pregnant wife homicide detective jane rizzoli when she is taken hostage along with others at the hospital by nicholas tennant a blackops agent in possession of highlevel government secrets after he is sent to the hospital when boston me maura isles discovers that tennant is still alive as she prepares for his autopsy reprint,Vanish
9780345477361,345477367,Darth Bane,path of destruction a novel of the old republic,drew karpyshyn,Fiction,http://books.google.com/books/content?id=cwXF01q7MxMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,millennia before the rise of darth vader and darth sidious in an old republic marked by an ongoing struggle between the sidi and jedi darth bane plots to bring down the brotherhood of the sith and to replace it with a more powerful order,20060,4.27,324.0,15796.0,Darth Bane path of destruction a novel of the old republic Fiction millennia before the rise of darth vader and darth sidious in an old republic marked by an ongoing struggle between the sidi and jedi darth bane plots to bring down the brotherhood of the sith and to replace it with a more powerful order,Darth Bane path of destruction a novel of the old republic Fiction millennia before the rise of darth vader and darth sidious in an old republic marked by an ongoing struggle between the sidi and jedi darth bane plots to bring down the brotherhood of the sith and to replace it with a more powerful order,Darth Bane
9780345477385,345477383,Star Wars,allegiance,timothy zahn,Fiction,http://books.google.com/books/content?id=blZQGYrc3KwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,luke skywalker is learning about the force while han solo struggles with the decision to join the rebel alliance leia helps run the rebellion while dealing with her feelings for han and mara jade is doing the emperors dirty work,20070,3.98,324.0,6637.0,Star Wars allegiance Fiction luke skywalker is learning about the force while han solo struggles with the decision to join the rebel alliance leia helps run the rebellion while dealing with her feelings for han and mara jade is doing the emperors dirty work,Star Wars allegiance Fiction luke skywalker is learning about the force while han solo struggles with the decision to join the rebel alliance leia helps run the rebellion while dealing with her feelings for han and mara jade is doing the emperors dirty work,Star Wars
9780345477606,034547760X,Star Wars,the new essential guide to alien species,ann margaret lewishelen keier,Fiction,http://books.google.com/books/content?id=InPJDovJ9CoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a comprehensive overview of alien beings from the star wars universe provides a physical description of the beings a description of their homeworld and where and when they appeared in the star wars films novels cartoon series comic books or videogames,20060,4.16,227.0,247.0,Star Wars the new essential guide to alien species Fiction a comprehensive overview of alien beings from the star wars universe provides a physical description of the beings a description of their homeworld and where and when they appeared in the star wars films novels cartoon series comic books or videogames,Star Wars the new essential guide to alien species Fiction a comprehensive overview of alien beings from the star wars universe provides a physical description of the beings a description of their homeworld and where and when they appeared in the star wars films novels cartoon series comic books or videogames,Star Wars
9780345477972,345477979,Tsubasa,vol 7,clamp mangaka group,Juvenile Fiction,http://books.google.com/books/content?id=kuh6tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,sakura the princess of clow has a strange power that could change the world and lives in an alternatereality world with her childhood friend syaoran with whom she begins a series of journeys to other worlds,20050,4.29,194.0,3392.0,Tsubasa vol 7 Juvenile Fiction sakura the princess of clow has a strange power that could change the world and lives in an alternatereality world with her childhood friend syaoran with whom she begins a series of journeys to other worlds,Tsubasa vol 7 Juvenile Fiction sakura the princess of clow has a strange power that could change the world and lives in an alternatereality world with her childhood friend syaoran with whom she begins a series of journeys to other worlds,Tsubasa
9780345479174,345479173,Trump,the art of the deal,donald trump,Biography & Autobiography,http://books.google.com/books/content?id=5ENr62-n4cQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,an overview of a week in the entrepreneurs life and opinions on everything from football to new york mayors accompany stories of trumps best real estate deals and a discussion of the deal makers art reprint,20050,3.65,384.0,11727.0,Trump the art of the deal Biography & Autobiography an overview of a week in the entrepreneurs life and opinions on everything from football to new york mayors accompany stories of trumps best real estate deals and a discussion of the deal makers art reprint,Trump the art of the deal Biography & Autobiography an overview of a week in the entrepreneurs life and opinions on everything from football to new york mayors accompany stories of trumps best real estate deals and a discussion of the deal makers art reprint,Trump
9780345479396,345479394,Ego & Hubris,the michael malice story,harvey pekar,Biography & Autobiography,http://books.google.com/books/content?id=HniumAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,michael malice has had an unconventional childhood and despite his high intelligence finds himself in a series of deadend jobs until he meets the author who gives him the confidence to find a job which utilizes his creative talents,20060,3.65,160.0,376.0,Ego & Hubris the michael malice story Biography & Autobiography michael malice has had an unconventional childhood and despite his high intelligence finds himself in a series of deadend jobs until he meets the author who gives him the confidence to find a job which utilizes his creative talents,Ego & Hubris the michael malice story Biography & Autobiography michael malice has had an unconventional childhood and despite his high intelligence finds himself in a series of deadend jobs until he meets the author who gives him the confidence to find a job which utilizes his creative talents,Ego & Hubris
9780345480057,345480058,The Coal Tattoo,a novel,silas house,Fiction,http://books.google.com/books/content?id=fYi4wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,left to raise themselves in a small coalmining town in tennessee anneth and easter two very different sistersone destined for the glittering world of nashville the other a devout pentecostalstruggle to come to terms with the death of their mother as their long and difficult journey brings them back to their origins and to each other by the author of clays quilt readers guide included reprint 30000 first printing,20050,4.04,368.0,1704.0,The Coal Tattoo a novel Fiction left to raise themselves in a small coalmining town in tennessee anneth and easter two very different sistersone destined for the glittering world of nashville the other a devout pentecostalstruggle to come to terms with the death of their mother as their long and difficult journey brings them back to their origins and to each other by the author of clays quilt readers guide included reprint 30000 first printing,The Coal Tattoo a novel Fiction left to raise themselves in a small coalmining town in tennessee anneth and easter two very different sistersone destined for the glittering world of nashville the other a devout pentecostalstruggle to come to terms with the death of their mother as their long and difficult journey brings them back to their origins and to each other by the author of clays quilt readers guide included reprint 30000 first printing,The Coal Tattoo
9780345484291,345484290,Tsubasa 9 Reservoir Chronicle,in the gods hands,clamp mangaka group,,,sakura the princess of clow has a strange power that could change the world and lives in an alternatereality world with her childhood friend syaoran with whom she begins a series of journeys to other worlds,20040,4.28,184.0,3005.0,Tsubasa 9 Reservoir Chronicle in the gods hands  sakura the princess of clow has a strange power that could change the world and lives in an alternatereality world with her childhood friend syaoran with whom she begins a series of journeys to other worlds,Tsubasa 9 Reservoir Chronicle in the gods hands  sakura the princess of clow has a strange power that could change the world and lives in an alternatereality world with her childhood friend syaoran with whom she begins a series of journeys to other worlds,Tsubasa 9 Reservoir Chronicle
9780345485281,345485289,"Tsubasa, 11",reservoir chronicle ya,clamp mangaka group,Amnesia,,sakura the princess of clow has a strange power that could change the world and lives in an alternatereality world with her childhood friend syaoran with whom she begins a series of journeys to other worlds,20040,4.28,183.0,2674.0,"Tsubasa, 11 reservoir chronicle ya Amnesia sakura the princess of clow has a strange power that could change the world and lives in an alternatereality world with her childhood friend syaoran with whom she begins a series of journeys to other worlds","Tsubasa, 11 reservoir chronicle ya Amnesia sakura the princess of clow has a strange power that could change the world and lives in an alternatereality world with her childhood friend syaoran with whom she begins a series of journeys to other worlds","Tsubasa, 11"
